id,name,primary_muscle,secondary_muscles,movement_pattern,type,equipment,unilateral,level,gym_required,default_sets,default_reps,default_duration_sec,rest_sec,tempo,notes
1,Back Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
2,Front Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
3,Safety Bar Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
4,Box Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
5,Goblet Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
6,Zercher Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
7,Overhead Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
8,Pistol Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
9,Step-Up,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
10,Split Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
11,Sissy Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
12,Hack Squat,Quads,Glutes;Core,Squat,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
13,Conventional Deadlift,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
14,Sumo Deadlift,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
15,Trap Bar Deadlift,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
16,Deficit Deadlift,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
17,Block Pull,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
18,Romanian Deadlift,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
19,Single-Leg RDL,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
20,Hip Thrust,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
21,Good Morning,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
22,Kettlebell Swing,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
23,Glute Bridge,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
24,Nordic Hamstring Curl,Posterior Chain,Glutes;Hamstrings;Back,Hinge,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,120,30X1,
25,Flat Barbell Bench,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
26,Incline Barbell Bench,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
27,Decline Barbell Bench,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
28,Dumbbell Bench Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
29,Incline Dumbbell Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
30,Decline Dumbbell Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
31,Overhead Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
32,Seated DB Shoulder Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
33,Arnold Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
34,Push Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
35,Landmine Press,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
36,Chest Dip,Chest/Shoulders,Triceps;Core,Push,Strength,Barbell/Dumbbell/Bodyweight,0,All,1,4.0,6-10,,90,30X1,
37,Pull-Up,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
38,Chin-Up,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
39,Neutral Grip Pull-Up,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
40,Lat Pulldown,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
41,Single-Arm Pulldown,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
42,Barbell Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
43,Dumbbell Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
44,T-Bar Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
45,Inverted Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
46,Seated Cable Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
47,Chest Supported Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
48,Meadows Row,Back/Lats,Biceps;Rear Delts,Pull,Strength,Barbell/Dumbbell/Machine,0,All,1,4.0,8-12,,90,21X1,
49,Barbell Curl,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
50,Dumbbell Curl,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
51,Hammer Curl,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
52,Preacher Curl,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
53,Incline Curl,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
54,Concentration Curl,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
55,Skull Crusher,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
56,Overhead Triceps Extension,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
57,Dips,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
58,Rope Pushdown,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
59,Close Grip Bench,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
60,JM Press,Arms,Forearms/Triceps,Accessory,Strength,Barbell/Dumbbell/Machine,0,All,1,3.0,10-15,,60,21X1,
61,Lateral Raise,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
62,Front Raise,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
63,Rear Delt Fly,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
